iso_code,country,current_population,updated_datetime
COG,Republic Of The Congo,"5,646,957",2021-06-04 12:54:36.404126
FIN,Finland,"5,547,778",2021-06-04 12:54:36.404126
NOR,Norway,"5,462,322",2021-06-04 12:54:36.404126
SVK,Slovakia,"5,460,695",2021-06-04 12:54:36.404126
OMN,Oman,"5,214,457",2021-06-04 12:54:36.404126
PSE,Palestine,"5,214,068",2021-06-04 12:54:36.404126
LBR,Liberia,"5,171,285",2021-06-04 12:54:36.404126
CRI,Costa Rica,"5,135,824",2021-06-04 12:54:36.404126
IRL,Ireland,"4,979,758",2021-06-04 12:54:36.404126
CAF,Central African Republic,"4,913,604",2021-06-04 12:54:36.404126
NZL,New Zealand,"4,857,812",2021-06-04 12:54:36.404126
MRT,Mauritania,"4,766,069",2021-06-04 12:54:36.404126
PAN,Panama,"4,376,789",2021-06-04 12:54:36.404126
KWT,Kuwait,"4,323,866",2021-06-04 12:54:36.404126
HRV,Croatia,"4,083,371",2021-06-04 12:54:36.404126
MDA,Moldova,"4,024,760",2021-06-04 12:54:36.404126
GEO,Georgia,"3,980,479",2021-06-04 12:54:36.404126
ERI,Eritrea,"3,597,498",2021-06-04 12:54:36.404126
URY,Uruguay,"3,484,331",2021-06-04 12:54:36.404126
MNG,Mongolia,"3,325,611",2021-06-04 12:54:36.404126
BIH,Bosnia And Herzegovina,"3,264,921",2021-06-04 12:54:36.404126
JAM,Jamaica,"2,972,590",2021-06-04 12:54:36.404126
ARM,Armenia,"2,967,783",2021-06-04 12:54:36.404126
QAT,Qatar,"2,926,612",2021-06-04 12:54:36.404126
ALB,Albania,"2,873,330",2021-06-04 12:54:36.404126
PRI,Puerto Rico,"2,830,875",2021-06-04 12:54:36.404126
LTU,Lithuania,"2,692,217",2021-06-04 12:54:36.404126
NAM,Namibia,"2,584,010",2021-06-04 12:54:36.404126
GMB,Gambia,"2,481,864",2021-06-04 12:54:36.404126
BWA,Botswana,"2,394,013",2021-06-04 12:54:36.404126
GAB,Gabon,"2,274,935",2021-06-04 12:54:36.404126
LSO,Lesotho,"2,157,835",2021-06-04 12:54:36.404126
MKD,North Macedonia,"2,082,737",2021-06-04 12:54:36.404126
SVN,Slovenia,"2,078,724",2021-06-04 12:54:36.404126
GNB,Guinea Bissau,"2,012,054",2021-06-04 12:54:36.404126
LVA,Latvia,"1,868,318",2021-06-04 12:54:36.404126
BHR,Bahrain,"1,744,962",2021-06-04 12:54:36.404126
GNQ,Equatorial Guinea,"1,446,509",2021-06-04 12:54:36.404126
TTO,Trinidad And Tobago,"1,403,084",2021-06-04 12:54:36.404126
TLS,Timor Leste,"1,342,047",2021-06-04 12:54:36.404126
EST,Estonia,"1,325,291",2021-06-04 12:54:36.404126
MUS,Mauritius,"1,273,327",2021-06-04 12:54:36.404126
CYP,Cyprus,"1,214,975",2021-06-04 12:54:36.404126
DJI,Djibouti,"1,001,181",2021-06-04 12:54:36.404126
FJI,Fiji,"902,456",2021-06-04 12:54:36.404126
RU,Reunion,"901,236",2021-06-04 12:54:36.404126
COM,Comoros,"887,075",2021-06-04 12:54:36.404126
GUY,Guyana,"790,061",2021-06-04 12:54:36.404126
BTN,Bhutan,"779,289",2021-06-04 12:54:36.404126
SLB,Solomon Islands,"702,752",2021-06-04 12:54:36.404126
MAC,Macau,"657,706",2021-06-04 12:54:36.404126
LUX,Luxembourg,"634,152",2021-06-04 12:54:36.404126
MNE,Montenegro,"628,053",2021-06-04 12:54:36.404126
ESH,Western Sahara,"610,843",2021-06-04 12:54:36.404126
SUR,Suriname,"591,430",2021-06-04 12:54:36.404126
CPV,Cape Verde,"561,475",2021-06-04 12:54:36.404126
MDV,Maldives,"543,299",2021-06-04 12:54:36.404126
MLT,Malta,"442,678",2021-06-04 12:54:36.404126
BRN,Brunei,"441,241",2021-06-04 12:54:36.404126
BLZ,Belize,"404,385",2021-06-04 12:54:36.404126
BHS,Bahamas,"396,648",2021-06-04 12:54:36.404126
MTQ,Martinique,"374,798",2021-06-04 12:54:36.404126
ISL,Iceland,"343,194",2021-06-04 12:54:36.404126
VUT,Vanuatu,"313,935",2021-06-04 12:54:36.404126
NCL,New Caledonia,"288,033",2021-06-04 12:54:36.404126
BRB,Barbados,"287,685",2021-06-04 12:54:36.404126
PYF,French Polynesia,"282,424",2021-06-04 12:54:36.404126
MYT,Mayotte,"279,039",2021-06-04 12:54:36.404126
STP,Sao Tome And Principe,"223,050",2021-06-04 12:54:36.404126
WSM,Samoa,"200,043",2021-06-04 12:54:36.404126
LCA,Saint Lucia,"184,347",2021-06-04 12:54:36.404126
GUM,Guam,"170,073",2021-06-04 12:54:36.404126
CUW,Curacao,"164,745",2021-06-04 12:54:36.404126
KIR,Kiribati,"121,260",2021-06-04 12:54:36.404126
FSM,Micronesia,"116,175",2021-06-04 12:54:36.404126
GRD,Grenada,"112,995",2021-06-04 12:54:36.404126
VCT,Saint Vincent And The Grenadines,"111,263",2021-06-04 12:54:36.404126
ABW,Aruba,"107,204",2021-06-04 12:54:36.404126
TON,Tonga,"106,681",2021-06-04 12:54:36.404126
VIR,United States Virgin Islands,"104,252",2021-06-04 12:54:36.404126
SYC,Seychelles,"98,882",2021-06-04 12:54:36.404126
ATG,Antigua And Barbuda,"98,678",2021-06-04 12:54:36.404126
IMN,Isle Of Man,"85,410",2021-06-04 12:54:36.404126
AND,Andorra,"77,355",2021-06-04 12:54:36.404126
DMA,Dominica,"72,167",2021-06-04 12:54:36.404126
CYM,Cayman Islands,"66,497",2021-06-04 12:54:36.404126
BMU,Bermuda,"62,090",2021-06-04 12:54:36.404126
MHL,Marshall Islands,"59,610",2021-06-04 12:54:36.404126
MNP,Northern Mariana Islands,"57,917",2021-06-04 12:54:36.404126
GRL,Greenland,"56,877",2021-06-04 12:54:36.404126
ASM,American Samoa,"55,100",2021-06-04 12:54:36.404126
KNA,Saint Kitts And Nevis,"53,544",2021-06-04 12:54:36.404126
FRO,Faroe Islands,"49,049",2021-06-04 12:54:36.404126
MAF,Sint Maarten,"43,412",2021-06-04 12:54:36.404126
MCO,Monaco,"39,511",2021-06-04 12:54:36.404126
MAF,Saint Martin,"39,234",2021-06-04 12:54:36.404126
TCA,Turks And Caicos Islands,"39,231",2021-06-04 12:54:36.404126
LIE,Liechtenstein,"38,250",2021-06-04 12:54:36.404126
SMR,San Marino,"34,017",2021-06-04 12:54:36.404126
GIB,Gibraltar,"33,698",2021-06-04 12:54:36.404126
PLW,Palau,"18,169",2021-06-04 12:54:36.404126
COK,Cook Islands,"17,565",2021-06-04 12:54:36.404126
AIA,Anguilla,"15,117",2021-06-04 12:54:36.404126
TUV,Tuvalu,"11,931",2021-06-04 12:54:36.404126
WLF,Wallis And Futuna,"11,094",2021-06-04 12:54:36.404126
NRU,Nauru,"10,876",2021-06-04 12:54:36.404126
BL,Saint Barthelemy,"9,907",2021-06-04 12:54:36.404126
SPM,Saint Pierre And Miquelon,"5,766",2021-06-04 12:54:36.404126
MSR,Montserrat,"4,977",2021-06-04 12:54:36.404126
FLK,Falkland Islands,"3,533",2021-06-04 12:54:36.404126
NIU,Niue,"1,619",2021-06-04 12:54:36.404126
TKL,Tokelau,"1,373",2021-06-04 12:54:36.404126
VAT,Vatican City,800,2021-06-04 12:54:36.404126
CHN,China,"1,443,879,361",2021-06-05 12:39:39.550830
IND,India,"1,392,475,166",2021-06-05 12:39:39.550830
USA,United States,"332,779,942",2021-06-05 12:39:39.550830
IDN,Indonesia,"276,163,760",2021-06-05 12:39:39.550830
PAK,Pakistan,"224,901,527",2021-06-05 12:39:39.550830
BRA,Brazil,"213,894,222",2021-06-05 12:39:39.550830
NGA,Nigeria,"211,033,497",2021-06-05 12:39:39.550830
BGD,Bangladesh,"166,191,929",2021-06-05 12:39:39.550830
RUS,Russia,"145,913,451",2021-06-05 12:39:39.550830
MEX,Mexico,"130,169,573",2021-06-05 12:39:39.550830
JPN,Japan,"126,080,148",2021-06-05 12:39:39.550830
ETH,Ethiopia,"117,673,619",2021-06-05 12:39:39.550830
PHL,Philippines,"110,944,539",2021-06-05 12:39:39.550830
EGY,Egypt,"104,124,495",2021-06-05 12:39:39.550830
VNM,Vietnam,"98,111,265",2021-06-05 12:39:39.550830
COD,Dr Congo,"92,181,728",2021-06-05 12:39:39.550830
TUR,Turkey,"84,990,494",2021-06-05 12:39:39.550830
IRN,Iran,"84,958,047",2021-06-05 12:39:39.550830
DEU,Germany,"83,891,583",2021-06-05 12:39:39.550830
THA,Thailand,"69,940,355",2021-06-05 12:39:39.550830
GBR,United Kingdom,"68,184,191",2021-06-05 12:39:39.550830
FRA,France,"65,415,073",2021-06-05 12:39:39.550830
TZA,Tanzania,"61,375,405",2021-06-05 12:39:39.550830
ITA,Italy,"60,373,030",2021-06-05 12:39:39.550830
ZAF,South Africa,"59,990,871",2021-06-05 12:39:39.550830
KEN,Kenya,"54,900,849",2021-06-05 12:39:39.550830
MMR,Myanmar,"54,778,629",2021-06-05 12:39:39.550830
KOR,South Korea,"51,302,104",2021-06-05 12:39:39.550830
COL,Colombia,"51,237,671",2021-06-05 12:39:39.550830
UGA,Uganda,"47,026,736",2021-06-05 12:39:39.550830
ESP,Spain,"46,746,209",2021-06-05 12:39:39.550830
ARG,Argentina,"45,577,271",2021-06-05 12:39:39.550830
SDN,Sudan,"44,835,661",2021-06-05 12:39:39.550830
DZA,Algeria,"44,563,998",2021-06-05 12:39:39.550830
UKR,Ukraine,"43,485,108",2021-06-05 12:39:39.550830
IRQ,Iraq,"41,111,822",2021-06-05 12:39:39.550830
AFG,Afghanistan,"39,771,696",2021-06-05 12:39:39.550830
CAN,Canada,"38,045,054",2021-06-05 12:39:39.550830
POL,Poland,"37,800,851",2021-06-05 12:39:39.550830
MAR,Morocco,"37,314,687",2021-06-05 12:39:39.550830
SAU,Saudi Arabia,"35,303,035",2021-06-05 12:39:39.550830
UZB,Uzbekistan,"33,903,591",2021-06-05 12:39:39.550830
AGO,Angola,"33,858,848",2021-06-05 12:39:39.550830
PER,Peru,"33,332,519",2021-06-05 12:39:39.550830
MYS,Malaysia,"32,747,920",2021-06-05 12:39:39.550830
MOZ,Mozambique,"32,099,977",2021-06-05 12:39:39.550830
GHA,Ghana,"31,686,202",2021-06-05 12:39:39.550830
YEM,Yemen,"30,444,331",2021-06-05 12:39:39.550830
NPL,Nepal,"29,641,144",2021-06-05 12:39:39.550830
VEN,Venezuela,"28,688,652",2021-06-05 12:39:39.550830
MDG,Madagascar,"28,376,077",2021-06-05 12:39:39.550830
CMR,Cameroon,"27,176,963",2021-06-05 12:39:39.550830
CIV,Ivory Coast,"27,006,658",2021-06-05 12:39:39.550830
PRK,North Korea,"25,879,578",2021-06-05 12:39:39.550830
AUS,Australia,"25,767,913",2021-06-05 12:39:39.550830
NER,Niger,"25,066,168",2021-06-05 12:39:39.550830
TWN,Taiwan,"23,852,310",2021-06-05 12:39:39.550830
LKA,Sri Lanka,"21,491,426",2021-06-05 12:39:39.550830
BFA,Burkina Faso,"21,455,627",2021-06-05 12:39:39.550830
MLI,Mali,"20,813,578",2021-06-05 12:39:39.550830
MWI,Malawi,"19,611,564",2021-06-05 12:39:39.550830
CHL,Chile,"19,204,923",2021-06-05 12:39:39.550830
ROU,Romania,"19,135,518",2021-06-05 12:39:39.550830
KAZ,Kazakhstan,"18,979,806",2021-06-05 12:39:39.550830
ZMB,Zambia,"18,883,130",2021-06-05 12:39:39.550830
SYR,Syria,"18,231,915",2021-06-05 12:39:39.550830
GTM,Guatemala,"18,226,629",2021-06-05 12:39:39.550830
ECU,Ecuador,"17,871,307",2021-06-05 12:39:39.550830
SEN,Senegal,"17,164,817",2021-06-05 12:39:39.550830
NLD,Netherlands,"17,170,475",2021-06-05 12:39:39.550830
KHM,Cambodia,"16,930,645",2021-06-05 12:39:39.550830
TCD,Chad,"16,880,852",2021-06-05 12:39:39.550830
SOM,Somalia,"16,327,027",2021-06-05 12:39:39.550830
ZWE,Zimbabwe,"15,075,894",2021-06-05 12:39:39.550830
GIN,Guinea,"13,472,103",2021-06-05 12:39:39.550830
RWA,Rwanda,"13,254,097",2021-06-05 12:39:39.550830
BEN,Benin,"12,428,166",2021-06-05 12:39:39.550830
BDI,Burundi,"12,230,113",2021-06-05 12:39:39.550830
TUN,Tunisia,"11,927,793",2021-06-05 12:39:39.550830
BOL,Bolivia,"11,821,809",2021-06-05 12:39:39.550830
BEL,Belgium,"11,629,244",2021-06-05 12:39:39.550830
HTI,Haiti,"11,531,980",2021-06-05 12:39:39.550830
SSD,South Sudan,"11,368,132",2021-06-05 12:39:39.550830
CUB,Cuba,"11,318,091",2021-06-05 12:39:39.550830
DOM,Dominican Republic,"10,946,367",2021-06-05 12:39:39.550830
CZE,Czech Republic,"10,723,562",2021-06-05 12:39:39.550830
GRC,Greece,"10,374,310",2021-06-05 12:39:39.550830
JOR,Jordan,"10,262,653",2021-06-05 12:39:39.550830
AZE,Azerbaijan,"10,217,483",2021-06-05 12:39:39.550830
PRT,Portugal,"10,170,014",2021-06-05 12:39:39.550830
SWE,Sweden,"10,155,915",2021-06-05 12:39:39.550830
HND,Honduras,"10,051,987",2021-06-05 12:39:39.550830
ARE,United Arab Emirates,"9,983,957",2021-06-05 12:39:39.550830
TJK,Tajikistan,"9,735,006",2021-06-05 12:39:39.550830
HUN,Hungary,"9,636,049",2021-06-05 12:39:39.550830
BLR,Belarus,"9,443,346",2021-06-05 12:39:39.550830
PNG,Papua New Guinea,"9,107,038",2021-06-05 12:39:39.550830
AUT,Austria,"9,040,421",2021-06-05 12:39:39.550830
ISR,Israel,"8,780,451",2021-06-05 12:39:39.550830
CHE,Switzerland,"8,711,113",2021-06-05 12:39:39.550830
SRB,Serbia,"8,700,276",2021-06-05 12:39:39.550830
TGO,Togo,"8,464,291",2021-06-05 12:39:39.550830
SLE,Sierra Leone,"8,129,906",2021-06-05 12:39:39.550830
HKG,Hong Kong,"7,548,913",2021-06-05 12:39:39.550830
LAO,Laos,"7,372,200",2021-06-05 12:39:39.550830
PRY,Paraguay,"7,213,601",2021-06-05 12:39:39.550830
LBY,Libya,"6,952,699",2021-06-05 12:39:39.550830
BGR,Bulgaria,"6,900,255",2021-06-05 12:39:39.550830
LBN,Lebanon,"6,771,082",2021-06-05 12:39:39.550830
NIC,Nicaragua,"6,696,934",2021-06-05 12:39:39.550830
KGZ,Kyrgyzstan,"6,621,147",2021-06-05 12:39:39.550830
SLV,El Salvador,"6,516,283",2021-06-05 12:39:39.550830
TKM,Turkmenistan,"6,111,912",2021-06-05 12:39:39.550830
SGP,Singapore,"5,893,324",2021-06-05 12:39:39.550830
DNK,Denmark,"5,811,821",2021-06-05 12:39:39.550830
COG,Republic Of The Congo,"5,647,333",2021-06-05 12:39:39.550830
FIN,Finland,"5,547,800",2021-06-05 12:39:39.550830
NOR,Norway,"5,462,446",2021-06-05 12:39:39.550830
SVK,Slovakia,"5,460,696",2021-06-05 12:39:39.550830
OMN,Oman,"5,214,791",2021-06-05 12:39:39.550830
PSE,Palestine,"5,214,393",2021-06-05 12:39:39.550830
LBR,Liberia,"5,171,619",2021-06-05 12:39:39.550830
CRI,Costa Rica,"5,135,944",2021-06-05 12:39:39.550830
IRL,Ireland,"4,979,876",2021-06-05 12:39:39.550830
CAF,Central African Republic,"4,913,842",2021-06-05 12:39:39.550830
NZL,New Zealand,"4,857,917",2021-06-05 12:39:39.550830
MRT,Mauritania,"4,766,407",2021-06-05 12:39:39.550830
PAN,Panama,"4,376,968",2021-06-05 12:39:39.550830
KWT,Kuwait,"4,324,041",2021-06-05 12:39:39.550830
HRV,Croatia,"4,083,307",2021-06-05 12:39:39.550830
MDA,Moldova,"4,024,732",2021-06-05 12:39:39.550830
GEO,Georgia,"3,980,453",2021-06-05 12:39:39.550830
ERI,Eritrea,"3,597,646",2021-06-05 12:39:39.550830
URY,Uruguay,"3,484,361",2021-06-05 12:39:39.550830
MNG,Mongolia,"3,325,748",2021-06-05 12:39:39.550830
BIH,Bosnia And Herzegovina,"3,264,867",2021-06-05 12:39:39.550830
JAM,Jamaica,"2,972,622",2021-06-05 12:39:39.550830
ARM,Armenia,"2,967,796",2021-06-05 12:39:39.550830
QAT,Qatar,"2,926,758",2021-06-05 12:39:39.550830
ALB,Albania,"2,873,315",2021-06-05 12:39:39.550830
PRI,Puerto Rico,"2,830,777",2021-06-05 12:39:39.550830
LTU,Lithuania,"2,692,129",2021-06-05 12:39:39.550830
NAM,Namibia,"2,584,134",2021-06-05 12:39:39.550830
GMB,Gambia,"2,482,054",2021-06-05 12:39:39.550830
BWA,Botswana,"2,394,133",2021-06-05 12:39:39.550830
GAB,Gabon,"2,275,081",2021-06-05 12:39:39.550830
LSO,Lesotho,"2,157,882",2021-06-05 12:39:39.550830
MKD,North Macedonia,"2,082,734",2021-06-05 12:39:39.550830
SVN,Slovenia,"2,078,724",2021-06-05 12:39:39.550830
GNB,Guinea Bissau,"2,012,183",2021-06-05 12:39:39.550830
LVA,Latvia,"1,868,267",2021-06-05 12:39:39.550830
BHR,Bahrain,"1,745,086",2021-06-05 12:39:39.550830
GNQ,Equatorial Guinea,"1,446,636",2021-06-05 12:39:39.550830
TTO,Trinidad And Tobago,"1,403,095",2021-06-05 12:39:39.550830
TLS,Timor Leste,"1,342,115",2021-06-05 12:39:39.550830
EST,Estonia,"1,325,287",2021-06-05 12:39:39.550830
MUS,Mauritius,"1,273,331",2021-06-05 12:39:39.550830
CYP,Cyprus,"1,214,998",2021-06-05 12:39:39.550830
DJI,Djibouti,"1,001,219",2021-06-05 12:39:39.550830
FJI,Fiji,"902,473",2021-06-05 12:39:39.550830
RU,Reunion,"901,253",2021-06-05 12:39:39.550830
COM,Comoros,"887,126",2021-06-05 12:39:39.550830
GUY,Guyana,"790,071",2021-06-05 12:39:39.550830
BTN,Bhutan,"779,312",2021-06-05 12:39:39.550830
SLB,Solomon Islands,"702,799",2021-06-05 12:39:39.550830
MAC,Macau,"657,732",2021-06-05 12:39:39.550830
LUX,Luxembourg,"634,177",2021-06-05 12:39:39.550830
MNE,Montenegro,"628,053",2021-06-05 12:39:39.550830
ESH,Western Sahara,"610,882",2021-06-05 12:39:39.550830
SUR,Suriname,"591,443",2021-06-05 12:39:39.550830
CPV,Cape Verde,"561,490",2021-06-05 12:39:39.550830
MDV,Maldives,"543,311",2021-06-05 12:39:39.550830
MLT,Malta,"442,682",2021-06-05 12:39:39.550830
BRN,Brunei,"441,252",2021-06-05 12:39:39.550830
BLZ,Belize,"404,405",2021-06-05 12:39:39.550830
BHS,Bahamas,"396,658",2021-06-05 12:39:39.550830
MTQ,Martinique,"374,796",2021-06-05 12:39:39.550830
ISL,Iceland,"343,200",2021-06-05 12:39:39.550830
VUT,Vanuatu,"313,955",2021-06-05 12:39:39.550830
NCL,New Caledonia,"288,040",2021-06-05 12:39:39.550830
BRB,Barbados,"287,686",2021-06-05 12:39:39.550830
PYF,French Polynesia,"282,428",2021-06-05 12:39:39.550830
MYT,Mayotte,"279,056",2021-06-05 12:39:39.550830
STP,Sao Tome And Principe,"223,062",2021-06-05 12:39:39.550830
WSM,Samoa,"200,047",2021-06-05 12:39:39.550830
LCA,Saint Lucia,"184,349",2021-06-05 12:39:39.550830
GUM,Guam,"170,077",2021-06-05 12:39:39.550830
CUW,Curacao,"164,747",2021-06-05 12:39:39.550830
KIR,Kiribati,"121,265",2021-06-05 12:39:39.550830
FSM,Micronesia,"116,178",2021-06-05 12:39:39.550830
GRD,Grenada,"112,996",2021-06-05 12:39:39.550830
VCT,Saint Vincent And The Grenadines,"111,263",2021-06-05 12:39:39.550830
ABW,Aruba,"107,204",2021-06-05 12:39:39.550830
TON,Tonga,"106,684",2021-06-05 12:39:39.550830
VIR,United States Virgin Islands,"104,251",2021-06-05 12:39:39.550830
SYC,Seychelles,"98,883",2021-06-05 12:39:39.550830
ATG,Antigua And Barbuda,"98,680",2021-06-05 12:39:39.550830
IMN,Isle Of Man,"85,410",2021-06-05 12:39:39.550830
AND,Andorra,"77,355",2021-06-05 12:39:39.550830
DMA,Dominica,"72,167",2021-06-05 12:39:39.550830
CYM,Cayman Islands,"66,497",2021-06-05 12:39:39.550830
BMU,Bermuda,"62,090",2021-06-05 12:39:39.550830
MHL,Marshall Islands,"59,610",2021-06-05 12:39:39.550830
MNP,Northern Mariana Islands,"57,917",2021-06-05 12:39:39.550830
GRL,Greenland,"56,877",2021-06-05 12:39:39.550830
ASM,American Samoa,"55,100",2021-06-05 12:39:39.550830
KNA,Saint Kitts And Nevis,"53,544",2021-06-05 12:39:39.550830
FRO,Faroe Islands,"49,049",2021-06-05 12:39:39.550830
MAF,Sint Maarten,"43,412",2021-06-05 12:39:39.550830
MCO,Monaco,"39,511",2021-06-05 12:39:39.550830
MAF,Saint Martin,"39,234",2021-06-05 12:39:39.550830
TCA,Turks And Caicos Islands,"39,231",2021-06-05 12:39:39.550830
LIE,Liechtenstein,"38,250",2021-06-05 12:39:39.550830
SMR,San Marino,"34,017",2021-06-05 12:39:39.550830
GIB,Gibraltar,"33,698",2021-06-05 12:39:39.550830
PLW,Palau,"18,169",2021-06-05 12:39:39.550830
COK,Cook Islands,"17,565",2021-06-05 12:39:39.550830
AIA,Anguilla,"15,117",2021-06-05 12:39:39.550830
TUV,Tuvalu,"11,931",2021-06-05 12:39:39.550830
WLF,Wallis And Futuna,"11,094",2021-06-05 12:39:39.550830
NRU,Nauru,"10,876",2021-06-05 12:39:39.550830
BL,Saint Barthelemy,"9,907",2021-06-05 12:39:39.550830
SPM,Saint Pierre And Miquelon,"5,766",2021-06-05 12:39:39.550830
MSR,Montserrat,"4,977",2021-06-05 12:39:39.550830
FLK,Falkland Islands,"3,533",2021-06-05 12:39:39.550830
NIU,Niue,"1,619",2021-06-05 12:39:39.550830
TKL,Tokelau,"1,373",2021-06-05 12:39:39.550830
VAT,Vatican City,800,2021-06-05 12:39:39.550830
CHN,China,"1,443,892,578",2021-06-06 12:39:20.804163
IND,India,"1,392,511,820",2021-06-06 12:39:20.804163
USA,United States,"332,785,245",2021-06-06 12:39:20.804163
IDN,Indonesia,"276,171,532",2021-06-06 12:39:20.804163
PAK,Pakistan,"224,913,239",2021-06-06 12:39:20.804163
BRA,Brazil,"213,898,116",2021-06-06 12:39:20.804163
NGA,Nigeria,"211,047,910",2021-06-06 12:39:20.804163
BGD,Bangladesh,"166,196,308",2021-06-06 12:39:20.804163
RUS,Russia,"145,913,395",2021-06-06 12:39:20.804163
MEX,Mexico,"130,173,209",2021-06-06 12:39:20.804163
JPN,Japan,"126,078,997",2021-06-06 12:39:20.804163
ETH,Ethiopia,"117,681,571",2021-06-06 12:39:20.804163
PHL,Philippines,"110,948,557",2021-06-06 12:39:20.804163
EGY,Egypt,"104,129,748",2021-06-06 12:39:20.804163
VNM,Vietnam,"98,113,525",2021-06-06 12:39:20.804163
COD,Dr Congo,"92,189,431",2021-06-06 12:39:20.804163
TUR,Turkey,"84,992,545",2021-06-06 12:39:20.804163
IRN,Iran,"84,960,823",2021-06-06 12:39:20.804163
DEU,Germany,"83,891,932",2021-06-06 12:39:20.804163
THA,Thailand,"69,940,767",2021-06-06 12:39:20.804163
GBR,United Kingdom,"68,185,091",2021-06-06 12:39:20.804163
FRA,France,"65,415,509",2021-06-06 12:39:20.804163
TZA,Tanzania,"61,380,234",2021-06-06 12:39:20.804163
ITA,Italy,"60,372,812",2021-06-06 12:39:20.804163
ZAF,South Africa,"59,992,877",2021-06-06 12:39:20.804163
KEN,Kenya,"54,904,179",2021-06-06 12:39:20.804163
MMR,Myanmar,"54,779,704",2021-06-06 12:39:20.804163
KOR,South Korea,"51,302,225",2021-06-06 12:39:20.804163
COL,Colombia,"51,238,777",2021-06-06 12:39:20.804163
UGA,Uganda,"47,030,535",2021-06-06 12:39:20.804163
ESP,Spain,"46,746,170",2021-06-06 12:39:20.804163
ARG,Argentina,"45,578,392",2021-06-06 12:39:20.804163
SDN,Sudan,"44,838,554",2021-06-06 12:39:20.804163
DZA,Algeria,"44,566,063",2021-06-06 12:39:20.804163
UKR,Ukraine,"43,484,390",2021-06-06 12:39:20.804163
IRQ,Iraq,"41,114,473",2021-06-06 12:39:20.804163
AFG,Afghanistan,"39,774,197",2021-06-06 12:39:20.804163
CAN,Canada,"38,045,951",2021-06-06 12:39:20.804163
POL,Poland,"37,800,700",2021-06-06 12:39:20.804163
MAR,Morocco,"37,315,868",2021-06-06 12:39:20.804163
SAU,Saudi Arabia,"35,304,512",2021-06-06 12:39:20.804163
UZB,Uzbekistan,"33,904,854",2021-06-06 12:39:20.804163
AGO,Angola,"33,861,783",2021-06-06 12:39:20.804163
PER,Peru,"33,333,575",2021-06-06 12:39:20.804163
MYS,Malaysia,"32,749,029",2021-06-06 12:39:20.804163
MOZ,Mozambique,"32,102,453",2021-06-06 12:39:20.804163
GHA,Ghana,"31,688,005",2021-06-06 12:39:20.804163
YEM,Yemen,"30,446,149",2021-06-06 12:39:20.804163
NPL,Nepal,"29,642,469",2021-06-06 12:39:20.804163
VEN,Venezuela,"28,689,291",2021-06-06 12:39:20.804163
MDG,Madagascar,"28,378,089",2021-06-06 12:39:20.804163
CMR,Cameroon,"27,178,819",2021-06-06 12:39:20.804163
CIV,Ivory Coast,"27,008,501",2021-06-06 12:39:20.804163
PRK,North Korea,"25,879,871",2021-06-06 12:39:20.804163
AUS,Australia,"25,768,710",2021-06-06 12:39:20.804163
NER,Niger,"25,068,705",2021-06-06 12:39:20.804163
TWN,Taiwan,"23,852,416",2021-06-06 12:39:20.804163
LKA,Sri Lanka,"21,491,657",2021-06-06 12:39:20.804163
BFA,Burkina Faso,"21,457,254",2021-06-06 12:39:20.804163
MLI,Mali,"20,815,233",2021-06-06 12:39:20.804163
MWI,Malawi,"19,612,982",2021-06-06 12:39:20.804163
CHL,Chile,"19,205,215",2021-06-06 12:39:20.804163
ROU,Romania,"19,135,214",2021-06-06 12:39:20.804163
KAZ,Kazakhstan,"18,980,401",2021-06-06 12:39:20.804163
ZMB,Zambia,"18,884,603",2021-06-06 12:39:20.804163
SYR,Syria,"18,233,633",2021-06-06 12:39:20.804163
GTM,Guatemala,"18,227,541",2021-06-06 12:39:20.804163
ECU,Ecuador,"17,871,980",2021-06-06 12:39:20.804163
SEN,Senegal,"17,166,053",2021-06-06 12:39:20.804163
NLD,Netherlands,"17,170,578",2021-06-06 12:39:20.804163
KHM,Cambodia,"16,931,265",2021-06-06 12:39:20.804163
TCD,Chad,"16,882,192",2021-06-06 12:39:20.804163
SOM,Somalia,"16,328,301",2021-06-06 12:39:20.804163
ZWE,Zimbabwe,"15,076,533",2021-06-06 12:39:20.804163
GIN,Guinea,"13,473,089",2021-06-06 12:39:20.804163
RWA,Rwanda,"13,254,977",2021-06-06 12:39:20.804163
BEN,Benin,"12,429,064",2021-06-06 12:39:20.804163
BDI,Burundi,"12,231,107",2021-06-06 12:39:20.804163
TUN,Tunisia,"11,928,106",2021-06-06 12:39:20.804163
BOL,Bolivia,"11,822,245",2021-06-06 12:39:20.804163
BEL,Belgium,"11,629,365",2021-06-06 12:39:20.804163
HTI,Haiti,"11,532,361",2021-06-06 12:39:20.804163
SSD,South Sudan,"11,368,652",2021-06-06 12:39:20.804163
CUB,Cuba,"11,318,068",2021-06-06 12:39:20.804163
DOM,Dominican Republic,"10,946,655",2021-06-06 12:39:20.804163
CZE,Czech Republic,"10,723,601",2021-06-06 12:39:20.804163
GRC,Greece,"10,374,170",2021-06-06 12:39:20.804163
JOR,Jordan,"10,262,903",2021-06-06 12:39:20.804163
AZE,Azerbaijan,"10,217,713",2021-06-06 12:39:20.804163
PRT,Portugal,"10,169,932",2021-06-06 12:39:20.804163
SWE,Sweden,"10,156,082",2021-06-06 12:39:20.804163
